ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2010-01-31,6.034432,0.18140082165177351,7.5472063637997415,6.034432,6.034432,-2.4426950470503113,-2.4426950470503113,-2.4426950470503113,-2.4426950470503113,-2.4426950470503113,-2.4426950470503113,0.0,0.0,0.0,3.5917369529496885
2010-02-28,6.057780150174273,-0.6638315191379339,7.118210650682897,6.057780150174273,6.057780150174273,-2.6170650250879106,-2.6170650250879106,-2.6170650250879106,-2.6170650250879106,-2.6170650250879106,-2.6170650250879106,0.0,0.0,0.0,3.4407151250863626
2010-03-31,6.083629887867219,2.663074361357709,9.817069033678493,6.083629887867219,6.083629887867219,0.1183678795734236,0.1183678795734236,0.1183678795734236,0.1183678795734236,0.1183678795734236,0.1183678795734236,0.0,0.0,0.0,6.201997767440643
2010-04-30,6.108645763053941,1.393820195780106,8.688883140150237,6.108645763053941,6.108645763053941,-1.0561111030441372,-1.0561111030441372,-1.0561111030441372,-1.0561111030441372,-1.0561111030441372,-1.0561111030441372,0.0,0.0,0.0,5.052534660009804
2010-05-31,6.134495500746887,1.4668519899393049,8.977650487911049,6.134495500746887,6.134495500746887,-1.0704089513900439,-1.0704089513900439,-1.0704089513900439,-1.0704089513900439,-1.0704089513900439,-1.0704089513900439,0.0,0.0,0.0,5.064086549356843
2010-06-30,6.15951137593361,1.6658623866443132,9.444155969568355,6.15951137593361,6.15951137593361,-0.6354273571215652,-0.6354273571215652,-0.6354273571215652,-0.6354273571215652,-0.6354273571215652,-0.6354273571215652,0.0,0.0,0.0,5.524084018812045
2010-07-31,6.1853611136265565,0.8742178528392437,8.52200908082347,6.1853611136265565,6.1853611136265565,-1.5887615966484447,-1.5887615966484447,-1.5887615966484447,-1.5887615966484447,-1.5887615966484447,-1.5887615966484447,0.0,0.0,0.0,4.596599516978111
2010-08-31,6.2112108514821305,1.6275096495568748,9.234818001501889,6.2112108514821305,6.2112108514821305,-0.5777054836828786,-0.5777054836828786,-0.5777054836828786,-0.5777054836828786,-0.5777054836828786,-0.5777054836828786,0.0,0.0,0.0,5.633505367799252
2010-09-30,6.236226726826235,3.5988228499893453,11.234255919484518,6.236226726826235,6.236226726826235,1.0342942146433687,1.0342942146433687,1.0342942146433687,1.0342942146433687,1.0342942146433687,1.0342942146433687,0.0,0.0,0.0,7.270520941469604
2010-10-31,6.26207646468181,2.1787908199447408,9.799719871248099,6.26207646468181,6.26207646468181,-0.21708413381000047,-0.21708413381000047,-0.21708413381000047,-0.21708413381000047,-0.21708413381000047,-0.21708413381000047,0.0,0.0,0.0,6.04499233087181
