ds,y
2024-01-31 00:00:00+00:00,22
2024-02-29 00:00:00+00:00,19
2024-03-31 00:00:00+00:00,21
2024-04-30 00:00:00+00:00,19
2024-05-31 00:00:00+00:00,26
2024-06-30 00:00:00+00:00,18
2024-07-31 00:00:00+00:00,13
2024-08-31 00:00:00+00:00,21
2024-09-30 00:00:00+00:00,23
2024-10-31 00:00:00+00:00,19
2024-11-30 00:00:00+00:00,29
2024-12-31 00:00:00+00:00,30
2025-01-31 00:00:00+00:00,21
2025-02-28 00:00:00+00:00,20
2025-03-31 00:00:00+00:00,26
2025-04-30 00:00:00+00:00,26
2025-05-31 00:00:00+00:00,28
2025-06-30 00:00:00+00:00,25
2025-07-31 00:00:00+00:00,24
2025-08-31 00:00:00+00:00,28
2025-09-30 00:00:00+00:00,30
2025-10-31 00:00:00+00:00,25
2025-11-30 00:00:00+00:00,31
2025-12-31 00:00:00+00:00,40
2026-01-31 00:00:00+00:00,24
2026-02-28 00:00:00+00:00,18
2026-03-31 00:00:00+00:00,30
2026-04-30 00:00:00+00:00,31
2026-05-31 00:00:00+00:00,22
2026-06-30 00:00:00+00:00,29
2026-07-31 00:00:00+00:00,11
